,Index,Time Serie,AUSTRALIA - AUSTRALIAN DOLLAR/US$,NEW ZEALAND - NEW ZELAND DOLLAR/US$
317,317,2001-03-21,2.0259,2.4125
318,318,2001-03-22,2.0354,2.4172
319,319,2001-03-23,2.0149,2.3998
320,320,2001-03-26,2.004,2.4125
321,321,2001-03-27,2.0149,2.4331
322,322,2001-03-28,2.0259,2.4432
323,323,2001-03-29,2.0321,2.46
324,324,2001-03-30,2.0488,2.4795
325,325,2001-04-02,2.0713,2.5044
326,326,2001-04-03,2.0576,2.4814
327,327,2001-04-04,2.0437,2.4722
328,328,2001-04-05,2.0416,2.4765
329,329,2001-04-06,2.0169,2.4716
330,330,2001-04-09,2.021,2.4734
331,331,2001-04-10,2.0222,2.4814
332,332,2001-04-11,1.99,2.4783
333,333,2001-04-12,1.9677,2.4552
334,334,2001-04-13,1.9681,2.451
335,335,2001-04-16,1.9589,2.445
336,336,2001-04-17,1.9782,2.4673
337,337,2001-04-18,2.004,2.4722
338,338,2001-04-19,1.9666,2.4643
339,339,2001-04-20,1.9312,2.405
340,340,2001-04-23,1.9759,2.4361
341,341,2001-04-24,1.9861,2.451
342,342,2001-04-25,1.9822,2.4419999999999997
343,343,2001-04-26,1.9743,2.4361
344,344,2001-04-27,1.96,2.4242
345,345,2001-04-30,1.9623,2.4225
346,346,2001-05-01,1.9316,2.3821
347,347,2001-05-02,1.9183,2.3613
348,348,2001-05-03,1.9279,2.3669
349,349,2001-05-04,1.9272,2.3719
350,350,2001-05-07,1.9283,2.3753
351,351,2001-05-08,1.9298,2.3753
352,352,2001-05-09,1.915,2.3557
353,353,2001-05-10,1.9080000000000001,2.3458
354,354,2001-05-11,1.9205,2.3714
355,355,2001-05-14,1.9305,2.3895
356,356,2001-05-15,1.9257,2.3883
357,357,2001-05-16,1.9109,2.3685
358,358,2001-05-17,1.8965,2.3474
359,359,2001-05-18,1.9044,2.3474
360,360,2001-05-21,1.8904,2.3419
361,361,2001-05-22,1.9117,2.3579
362,362,2001-05-23,1.9275,2.3781
363,363,2001-05-24,1.9324,2.3669
364,364,2001-05-25,1.9257,2.3574
366,366,2001-05-29,1.9357,2.3669
367,367,2001-05-30,1.9493,2.3981
368,368,2001-05-31,1.9732,2.4492
369,369,2001-06-01,1.9669999999999999,2.4378
370,370,2001-06-04,1.9755,2.448
371,371,2001-06-05,1.9635,2.4372
372,372,2001-06-06,1.9451,2.4319
373,373,2001-06-07,1.9264,2.3929
374,374,2001-06-08,1.9073,2.3912
375,375,2001-06-11,1.9146,2.3946
376,376,2001-06-12,1.9095,2.3895
377,377,2001-06-13,1.8954,2.3691
378,378,2001-06-14,1.9008,2.4108
379,379,2001-06-15,1.9022,2.3941
380,380,2001-06-18,1.9091,2.4091
381,381,2001-06-19,1.9194,2.4172
382,382,2001-06-20,1.9298,2.4213
383,383,2001-06-21,1.9312,2.4207
384,384,2001-06-22,1.935,2.4231
385,385,2001-06-25,1.9391,2.4172
386,386,2001-06-26,1.9238,2.405
387,387,2001-06-27,1.9312,2.3981
388,388,2001-06-28,1.9569,2.4372
389,389,2001-06-29,1.9608,2.471
390,390,2001-07-02,1.9585,2.471
391,391,2001-07-03,1.9372,2.457
393,393,2001-07-05,1.9429,2.471
394,394,2001-07-06,1.9673,2.4777
395,395,2001-07-09,1.9623,2.4697
396,396,2001-07-10,1.9585,2.4631
397,397,2001-07-11,1.9724,2.4649
398,398,2001-07-12,1.9809999999999999,2.4704
399,399,2001-07-13,1.9708,2.46
400,400,2001-07-16,1.9685,2.457
401,401,2001-07-17,1.9743,2.4661
402,402,2001-07-18,1.9448,2.4361
403,403,2001-07-19,1.9508,2.4213
404,404,2001-07-20,1.9782,2.445
405,405,2001-07-23,1.9689,2.4444
406,406,2001-07-24,1.9685,2.4372
407,407,2001-07-25,1.9712,2.4290000000000003
408,408,2001-07-26,1.9716,2.4301
409,409,2001-07-27,1.9747,2.4301
410,410,2001-07-30,1.9775,2.4272
411,411,2001-07-31,1.9685,2.4278
412,412,2001-08-01,1.9354,2.4096
413,413,2001-08-02,1.9268,2.3946
414,414,2001-08-03,1.932,2.3866
415,415,2001-08-06,1.9357,2.3895
416,416,2001-08-07,1.9399,2.3883
417,417,2001-08-08,1.9286,2.3607
418,418,2001-08-09,1.9596,2.3652
419,419,2001-08-10,1.9493,2.3518
420,420,2001-08-13,1.9327,2.3354
421,421,2001-08-14,1.9246,2.3256
422,422,2001-08-15,1.8983,2.3052
423,423,2001-08-16,1.8961,2.2973
424,424,2001-08-17,1.8678,2.2701
425,425,2001-08-20,1.8786,2.2883
426,426,2001-08-21,1.8879,2.2989
427,427,2001-08-22,1.865,2.2533
428,428,2001-08-23,1.8734,2.2665
429,429,2001-08-24,1.8829,2.2763
430,430,2001-08-27,1.8921,2.2831
431,431,2001-08-28,1.8896,2.2763
432,432,2001-08-29,1.8868,2.2701
433,433,2001-08-30,1.8762,2.2624
434,434,2001-08-31,1.895,2.2857
436,436,2001-09-04,1.9186,2.3175
437,437,2001-09-05,1.9238,2.3143
438,438,2001-09-06,1.912,2.2962
439,439,2001-09-07,1.9234,2.2994
440,440,2001-09-10,1.9474,2.3191
442,442,2001-09-12,1.9376,2.3414
443,443,2001-09-13,1.9387,2.3652
444,444,2001-09-14,1.9395,2.3563
445,445,2001-09-17,1.9916,2.4254
446,446,2001-09-18,2.0186,2.4343
447,447,2001-09-19,2.0288,2.4343
448,448,2001-09-20,2.0325,2.4319
449,449,2001-09-21,2.0657,2.4752
450,450,2001-09-24,2.0408,2.4802
451,451,2001-09-25,2.0247,2.4474
452,452,2001-09-26,2.0446,2.4722
453,453,2001-09-27,2.0551,2.5025
454,454,2001-09-28,2.0218,2.4588
455,455,2001-10-01,2.0313,2.4582
456,456,2001-10-02,2.019,2.4661
457,457,2001-10-03,2.0117,2.4432
458,458,2001-10-04,2.0101,2.4486
459,459,2001-10-05,1.9763,2.4184
461,461,2001-10-09,1.9964,2.4237
462,462,2001-10-10,1.9936,2.4184
463,463,2001-10-11,2.006,2.4213
464,464,2001-10-12,1.994,2.4166
465,465,2001-10-15,1.9474,2.3793
466,466,2001-10-16,1.9469999999999998,2.3883
467,467,2001-10-17,1.9459,2.3781
468,468,2001-10-18,1.9658,2.3987
469,469,2001-10-19,1.9685,2.4038
470,470,2001-10-22,1.9712,2.4125
471,471,2001-10-23,1.9658,2.3883
472,472,2001-10-24,1.9701,2.3964
473,473,2001-10-25,1.9814,2.4155
474,474,2001-10-26,1.9932,2.4254
475,475,2001-10-29,1.9778,2.4155
476,476,2001-10-30,1.9771,2.4125
477,477,2001-10-31,1.9881,2.4242
478,478,2001-11-01,1.9662,2.4143
479,479,2001-11-02,1.9697,2.4102
480,480,2001-11-05,1.9701,2.4096
481,481,2001-11-06,1.9489,2.3804
482,482,2001-11-07,1.9409999999999998,2.381
483,483,2001-11-08,1.9429,2.3866
484,484,2001-11-09,1.9436,2.3832
486,486,2001-11-13,1.9234,2.3663
487,487,2001-11-14,1.9283,2.3787
488,488,2001-11-15,1.9305,2.3975
489,489,2001-11-16,1.922,2.4155
490,490,2001-11-19,1.9212,2.4108
491,491,2001-11-20,1.9275,2.4114
492,492,2001-11-21,1.9372,2.4372
494,494,2001-11-23,1.9342,2.4384
495,495,2001-11-26,1.9268,2.4237
